"","station","DATE","hour","day_week","entries"
"1","1 AVE",1994-04-06,0,1,2331
"2","1 AVE",1994-04-06,4,1,496
"3","1 AVE",1994-04-06,8,1,726
"4","1 AVE",1994-04-06,12,1,4941
"5","1 AVE",1994-04-06,16,1,4170
"6","1 AVE",1994-04-06,20,1,6221
"7","103 ST-CORONA",1994-04-06,0,1,969
"8","103 ST-CORONA",1994-04-06,4,1,205
"9","103 ST-CORONA",1994-04-06,8,1,3891
"10","103 ST-CORONA",1994-04-06,12,1,7001
"11","103 ST-CORONA",1994-04-06,16,1,2610
"12","103 ST-CORONA",1994-04-06,20,1,2193
"13","104 ST",1994-04-06,0,1,128
"14","104 ST",1994-04-06,4,1,41
"15","104 ST",1994-04-06,8,1,460
"16","104 ST",1994-04-06,12,1,1198
"17","104 ST",1994-04-06,16,1,420
"18","104 ST",1994-04-06,20,1,327
"19","110 ST",1994-04-06,0,1,1337
"20","110 ST",1994-04-06,4,1,181
"21","110 ST",1994-04-06,8,1,278
"22","110 ST",1994-04-06,12,1,5205
"23","110 ST",1994-04-06,16,1,2555
"24","110 ST",1994-04-06,20,1,2666
"25","110 ST-CPN",1994-04-06,0,1,820
"26","110 ST-CPN",1994-04-06,4,1,166
"27","110 ST-CPN",1994-04-06,8,1,786
"28","110 ST-CPN",1994-04-06,12,1,3042
"29","110 ST-CPN",1994-04-06,16,1,1773
"30","110 ST-CPN",1994-04-06,20,1,1905
"31","111 ST",1994-04-06,0,1,684
"32","111 ST",1994-04-06,4,1,144
"33","111 ST",1994-04-06,8,1,3911
"34","111 ST",1994-04-06,12,1,3223
"35","111 ST",1994-04-06,16,1,2143
"36","111 ST",1994-04-06,20,1,1596
"37","121 ST",1994-04-06,0,1,195
"38","121 ST",1994-04-06,4,1,53
"39","121 ST",1994-04-06,8,1,482
"40","121 ST",1994-04-06,12,1,691
"41","121 ST",1994-04-06,16,1,433
"42","121 ST",1994-04-06,20,1,537
"43","125 ST",1994-04-06,0,1,2869
"44","125 ST",1994-04-06,4,1,609
"45","125 ST",1994-04-06,8,1,2364
"46","125 ST",1994-04-06,12,1,9175
"47","125 ST",1994-04-06,16,1,6859
"48","125 ST",1994-04-06,20,1,8852
"49","135 ST",1994-04-06,0,1,978
"50","135 ST",1994-04-06,4,1,265
"51","135 ST",1994-04-06,8,1,1113
"52","135 ST",1994-04-06,12,1,4804
"53","135 ST",1994-04-06,16,1,2745
"54","135 ST",1994-04-06,20,1,3345
"55","138 ST-GR CONC",1994-04-06,0,1,188
"56","138 ST-GR CONC",1994-04-06,4,1,58
"57","138 ST-GR CONC",1994-04-06,8,1,540
"58","138 ST-GR CONC",1994-04-06,12,1,692
"59","138 ST-GR CONC",1994-04-06,16,1,674
"60","138 ST-GR CONC",1994-04-06,20,1,964
"61","14 ST",1994-04-06,0,1,2514
"62","14 ST",1994-04-06,4,1,663
"63","14 ST",1994-04-06,8,1,719
"64","14 ST",1994-04-06,12,1,4306
"65","14 ST",1994-04-06,16,1,4488
"66","14 ST",1994-04-06,20,1,7387
"67","145 ST",1994-04-06,0,1,2372
"68","145 ST",1994-04-06,4,1,483
"69","145 ST",1994-04-06,8,1,3051
"70","145 ST",1994-04-06,12,1,11291
"71","145 ST",1994-04-06,16,1,5952
"72","145 ST",1994-04-06,20,1,5538
"73","148 ST-LENOX",1994-04-06,0,1,173
"74","148 ST-LENOX",1994-04-06,4,1,41
"75","148 ST-LENOX",1994-04-06,8,1,824
"76","148 ST-LENOX",1994-04-06,12,1,1154
"77","148 ST-LENOX",1994-04-06,16,1,875
"78","148 ST-LENOX",1994-04-06,20,1,652
"79","149 ST-3 AVE",1994-04-06,0,1,1179
"80","149 ST-3 AVE",1994-04-06,4,1,242
"81","149 ST-3 AVE",1994-04-06,8,1,4287
"82","149 ST-3 AVE",1994-04-06,12,1,5799
"83","149 ST-3 AVE",1994-04-06,16,1,5375
